-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   _commit_beams_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.560us         0.01%      18.560us       1.237us           0 B           0 B           0 B           0 B            15  
                                 _stage_sequence_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.466us         0.01%      18.466us       1.231us           0 B           0 B           0 B           0 B            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.366us         0.01%      18.366us       0.918us           0 B           0 B           0 B           0 B            20  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.952us         0.01%      17.952us       3.590us           0 B           0 B           0 B           0 B             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.251us         0.01%      17.251us       1.150us           0 B           0 B           0 B           0 B            15  
                                       cuLaunchKernelEx         0.85%       2.640ms         0.85%       2.640ms      11.999us      17.153us         0.01%      17.153us       0.078us           0 B           0 B           0 B           0 B           220  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.024us         0.01%      17.024us       3.405us           0 B           0 B           0 B           0 B             5  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      16.066us         0.01%      16.066us       1.071us           0 B           0 B           0 B           0 B            15  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      15.777us         0.01%      15.777us       1.578us           0 B           0 B           0 B           0 B            10  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.015us         0.01%      14.015us       1.402us           0 B           0 B           0 B           0 B            10  
